name,category,download_url,n,m,density,k_min,k_avg,k_max,r,t,t_min,t_avg,t_max,C_avg,C,LCC,class
insecta-ant-trophallaxis-colony1,dynamic,http://nrvis.com/./download/data/dynamic/insecta-ant-trophallaxis-colony1.zip,41,256,0.3121951219512195,2,12.48780487804878,25,0.003188680575686115,1335,0,32.560975609756106,114,0.385866924152056,0.3943870014771049,1.0,2.0
insecta-ant-trophallaxis-colony2,dynamic,http://nrvis.com/./download/data/dynamic/insecta-ant-trophallaxis-colony2.zip,39,245,0.3306342780026991,1,12.564102564102564,25,-0.15444368357702787,1503,0,38.53846153846154,104,0.4227490688243248,0.4438865918487892,1.0,0.0
mammalia-primate-association,dynamic,http://nrvis.com/./download/data/dynamic/mammalia-primate-association.zip,25,280,0.9333333333333332,17,22.4,24,-0.08221371766688924,5655,128,226.2,256,0.9394429715301972,0.9385892116182571,1.0,1.0
mammalia-raccoon-proximity,dynamic,http://nrvis.com/./download/data/dynamic/mammalia-raccoon-proximity.zip,24,226,0.8188405797101449,7,18.83333333333333,23,-0.133086192376403,3756,21,156.5,203,0.9031933701005078,0.8883632923368022,1.0,1.0
reptilia-tortoise-network-bsv,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-bsv.zip,136,374,0.04074074074074074,1,5.5,19,0.3253874106271273,1122,0,8.25,72,0.3335228371913402,0.3648780487804878,0.9852941176470588,5.0
reptilia-tortoise-network-cs,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-cs.zip,73,132,0.0502283105022831,1,3.616438356164384,15,0.393367169575193,306,0,4.191780821917808,31,0.314643651629953,0.4157608695652174,0.4246575342465753,2.0
reptilia-tortoise-network-fi,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-fi.zip,787,1197,0.0038701417112040116,1,3.0419313850063534,17,0.4765607192805185,2307,0,2.9313850063532403,42,0.26799840458185625,0.4199126319621405,0.6302414231257941,0.0
reptilia-tortoise-network-hw,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-hw.zip,16,16,0.13333333333333333,1,2.0,4,-0.3989071038251366,9,0,0.5625,2,0.3958333333333333,0.42857142857142855,0.375,4.0
reptilia-tortoise-network-lm,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-lm.zip,45,106,0.10707070707070708,1,4.711111111111111,12,0.11814639838882747,246,0,5.466666666666668,25,0.43449735449735455,0.3644444444444445,0.9111111111111112,1.0
reptilia-tortoise-network-mc,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-mc.zip,15,28,0.26666666666666666,1,3.733333333333333,9,0.04083484573502665,78,0,5.2,14,0.7094179894179894,0.6724137931034483,0.7333333333333333,0.0
reptilia-tortoise-network-pv,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-pv.zip,35,66,0.11092436974789917,1,3.7714285714285714,12,0.05826239207873018,168,0,4.8,23,0.4883797155225726,0.5045045045045045,0.6285714285714286,1.0
reptilia-tortoise-network-sl,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-sl.zip,11,13,0.2363636363636364,1,2.363636363636364,4,-0.23809523809523825,12,0,1.0909090909090908,2,0.6363636363636362,0.5714285714285714,0.6363636363636364,0.0
eco-everglades,eco,http://nrvis.com/./download/data/eco/eco-everglades.zip,69,885,0.3772378516624041,5,25.65217391304348,64,-0.2962372324272034,13044,0,189.0434782608696,668,0.5521052773829923,0.4703761133749234,1.0,3.0
eco-everglades,misc,http://nrvis.com/./download/data/eco/eco-everglades.zip,69,885,0.3772378516624041,5,25.65217391304348,64,-0.2962372324272034,13044,0,189.0434782608696,668,0.5521052773829923,0.4703761133749234,1.0,3.0
eco-florida,eco,http://nrvis.com/./download/data/eco/eco-florida.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,3.0
eco-florida,misc,http://nrvis.com/./download/data/eco/eco-florida.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,3.0
eco-foodweb-baydry,eco,http://nrvis.com/./download/data/eco/eco-foodweb-baydry.zip,128,2106,0.2591043307086614,2,32.90625,110,-0.10437190533228803,26145,0,204.2578125,1745,0.3346418860120208,0.3142994530263869,1.0,3.0
eco-foodweb-baydry,misc,http://nrvis.com/./download/data/eco/eco-foodweb-baydry.zip,128,2106,0.2591043307086614,2,32.90625,110,-0.10437190533228803,26145,0,204.2578125,1745,0.3346418860120208,0.3142994530263869,1.0,3.0
eco-foodweb-baywet,eco,http://nrvis.com/./download/data/eco/eco-foodweb-baywet.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,3.0
eco-foodweb-baywet,misc,http://nrvis.com/./download/data/eco/eco-foodweb-baywet.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,3.0
eco-mangwet,eco,http://nrvis.com/./download/data/eco/eco-mangwet.zip,97,1446,0.3105670103092784,5,29.81443298969072,90,-0.1506125663442823,22482,3,231.77319587628867,1212,0.4683429068100052,0.423246357167062,1.0,3.0
eco-mangwet,misc,http://nrvis.com/./download/data/eco/eco-mangwet.zip,97,1446,0.3105670103092784,5,29.81443298969072,90,-0.1506125663442823,22482,3,231.77319587628867,1212,0.4683429068100052,0.423246357167062,1.0,3.0
eco-stmarks,eco,http://nrvis.com/./download/data/eco/eco-stmarks.zip,54,353,0.246680642907058,4,13.074074074074074,48,-0.2302498671985144,1950,0,36.111111111111114,215,0.4127809593795341,0.33293494963291786,1.0,3.0
eco-stmarks,misc,http://nrvis.com/./download/data/eco/eco-stmarks.zip,54,353,0.246680642907058,4,13.074074074074074,48,-0.2302498671985144,1950,0,36.111111111111114,215,0.4127809593795341,0.33293494963291786,1.0,3.0
econ-wm1,econ,http://nrvis.com/./download/data/econ/econ-wm1.zip,260,2554,0.07585387585387586,1,19.646153846153847,108,-0.036004533380484725,65697,0,252.68076923076924,1756,0.2666020378530707,0.5665488099344601,0.9923076923076924,3.0
econ-wm2,econ,http://nrvis.com/./download/data/econ/econ-wm2.zip,259,2533,0.07581335488312232,1,19.55984555984556,108,0.018665072484774142,65871,0,254.3281853281853,1708,0.25102340666283,0.5839161769007792,0.9922779922779924,3.0
econ-wm3,econ,http://nrvis.com/./download/data/econ/econ-wm3.zip,259,2539,0.07599293645805273,1,19.60617760617761,108,0.009335384532283324,65091,0,251.3166023166023,1722,0.2632102904430109,0.5780882261516737,0.9922779922779924,3.0
email-enron-only,email,http://nrvis.com/./download/data/email/email-enron-only.zip,143,623,0.061361174037230376,1,8.713286713286713,42,-0.01953592298729724,2667,0,18.650349650349646,125,0.43390702914792223,0.3590951932139491,1.0,2.0
ia-enron-only,ia,http://nrvis.com/./download/data/ia/ia-enron-only.zip,143,623,0.061361174037230376,1,8.713286713286713,42,-0.01953592298729724,2667,0,18.650349650349646,125,0.43390702914792223,0.3590951932139491,1.0,2.0
ia-infect-dublin,ia,http://nrvis.com/./download/data/ia/ia-infect-dublin.zip,410,2765,0.032977518039239075,1,13.48780487804878,50,0.2257519475783722,21342,0,52.05365853658537,280,0.4558242418435714,0.4356932876041156,1.0,0.0
ia-infect-hyper,ia,http://nrvis.com/./download/data/ia/ia-infect-hyper.zip,113,2196,0.3470290771175727,1,38.86725663716814,98,-0.12258037504294858,50601,0,447.7964601769912,1731,0.5347555956050045,0.4952046348671977,1.0,0.0
ia-southernwomen,ia,http://nrvis.com/./download/data/ia/ia-southernwomen.zip,18,78,0.5098039215686274,2,8.666666666666666,16,-0.3024329588148526,291,1,16.166666666666668,38,0.7619318952652288,0.6,1.0,0.0
ia-workplace-contacts,dynamic,http://nrvis.com/./download/data/ia/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,1.0
ia-workplace-contacts,ia,http://nrvis.com/./download/data/ia/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,2.0
inf-USAir97,inf,http://nrvis.com/./download/data/inf/inf-USAir97.zip,332,2126,0.0386925344884068,1,12.807228915662654,139,-0.2078762308120044,36543,0,110.06927710843374,1413,0.625217249162503,0.3963921942964996,1.0,2.0
DD199,labeled,http://nrvis.com/./download/data/labeled/DD199.zip,841,1902,0.00538474605062001,1,4.523186682520809,10,0.32975285918616404,3558,0,4.230677764565993,18,0.4677830624917422,0.467727093466544,1.0,5.0
DD244,labeled,http://nrvis.com/./download/data/labeled/DD244.zip,291,822,0.019480981158905085,1,5.649484536082476,10,0.2296256152144629,2061,0,7.082474226804122,18,0.515968472154039,0.4896650035637919,1.0,5.0
DD349,labeled,http://nrvis.com/./download/data/labeled/DD349.zip,897,2087,0.005193402611880873,1,4.653288740245261,10,0.3344070224470197,4146,0,4.622073578595318,16,0.4706995098299441,0.4738827294547948,1.0,0.0
DD497,labeled,http://nrvis.com/./download/data/labeled/DD497.zip,903,2453,0.006023282824190368,2,5.433001107419711,11,0.3192006850418589,5790,0,6.411960132890365,21,0.4989131945942578,0.4742791612057667,1.0,0.0
DD68,labeled,http://nrvis.com/./download/data/labeled/DD68.zip,775,2093,0.006978411269484038,2,5.401290322580645,13,0.4314997874524133,4416,0,5.698064516129032,21,0.4390605451895772,0.4067796610169492,1.0,2.0
DD687,labeled,http://nrvis.com/./download/data/labeled/DD687.zip,725,2600,0.009906648885502,1,7.172413793103447,15,0.3576522528447287,7569,0,10.44,29,0.4746152315117844,0.42954429374042336,1.0,0.0
TerroristRel,labeled,http://nrvis.com/./download/data/labeled/TerroristRel.zip,881,8592,0.02216489526364668,1,19.505107832009077,36,0.8509718903882372,105732,0,120.01362088535757,330,0.5747525285560737,0.5333777259863492,0.7797956867196367,5.0
internet-industry-partnerships,labeled,http://nrvis.com/./download/data/labeled/internet-industry-partnerships.zip,219,630,0.02639185622722132,1,5.753424657534247,61,-0.2168362705142101,984,0,4.493150684931507,79,0.17618253771403775,0.10703796366800827,1.0,2.0
webkb-wisc,labeled,http://nrvis.com/./download/data/labeled/webkb-wisc.zip,265,479,0.013693539165237278,1,3.6150943396226416,122,-0.18422169100931504,360,0,1.3584905660377358,60,0.20802821796108725,0.03972632972853675,0.9471698113207548,2.0
08blocks,misc,http://nrvis.com/./download/data/misc/08blocks.zip,300,584,0.01302118171683389,2,3.8933333333333335,39,-0.3140560853781001,852,1,2.84,36,0.6681281281281259,0.14134041141340412,0.12666666666666668,4.0
130bit,misc,http://nrvis.com/./download/data/misc/130bit.zip,584,6067,0.03563876030921779,8,20.77739726027397,322,-0.15680605204715156,22293,0,38.17294520547946,1783,0.16491103984482275,0.07102282683148288,1.0,3.0
685-bus,misc,http://nrvis.com/./download/data/misc/685_bus.zip,685,1967,0.008396294873436629,3,5.7430656934306565,14,0.3370658387140669,990,0,1.4452554744525548,19,0.17247848663907042,0.21447140381282487,1.0,4.0
CAG-mat72,misc,http://nrvis.com/./download/data/misc/CAG_mat72.zip,72,750,0.2934272300469484,3,20.83333333333333,51,0.04703047302068601,10188,0,141.5,476,0.7510551554970636,0.6540832049306625,1.0,0.0
Chebyshev1,misc,http://nrvis.com/./download/data/misc/Chebyshev1.zip,261,1803,0.05313881520778072,8,13.816091954022989,262,-0.4315304775984449,11493,15,44.03448275862069,1282,0.8823113185182128,0.08105306214561765,1.0,0.0
Cities,misc,http://nrvis.com/./download/data/misc/Cities.zip,55,1072,0.7218855218855219,16,38.98181818181817,56,-0.2155217214557205,32298,109,587.2363636363636,990,0.8093311908408478,0.7771975840411964,1.0,3.0
D-10,misc,http://nrvis.com/./download/data/misc/D_10.zip,815,7549,0.02275817367841908,1,18.525153374233128,50,-0.06400710178300255,5919,0,7.2625766871165665,51,0.0344119511779641,0.03405227216504335,1.0,3.0
D-11,misc,http://nrvis.com/./download/data/misc/D_11.zip,457,2931,0.028129678682483013,1,12.827133479212256,47,-0.2298542741073181,2982,0,6.525164113785558,53,0.06201418919638715,0.05202826485213295,1.0,3.0
D-5,misc,http://nrvis.com/./download/data/misc/D_5.zip,431,1817,0.019608266335725464,1,8.43155452436195,64,-0.3057383133556952,1047,0,2.4292343387471003,56,0.06487875848761271,0.035928760166089015,1.0,3.0
D-6,misc,http://nrvis.com/./download/data/misc/D_6.zip,967,6469,0.013850439235988448,1,13.37952430196484,73,-0.16355868421552608,2967,0,3.068252326783868,50,0.027081076176162955,0.024795874875686345,1.0,3.0
EX1,misc,http://nrvis.com/./download/data/misc/EX1.zip,560,4368,0.027906976744186046,12,15.6,18,0.32923832923832164,8736,12,15.6,18,0.13868954574837006,0.1355174981384959,1.0,1.0
EX2,misc,http://nrvis.com/./download/data/misc/EX2.zip,560,4368,0.027906976744186046,12,15.6,18,0.3292383292383157,8736,12,15.6,18,0.13868954574837006,0.1355174981384959,1.0,2.0
Erdos971,misc,http://nrvis.com/./download/data/misc/Erdos971.zip,433,1314,0.014049268668206312,1,6.069284064665128,41,0.18158961293822728,3549,0,8.196304849884529,138,0.2805065529403261,0.21441517641372645,0.9907621247113164,0.0
Erdos981,misc,http://nrvis.com/./download/data/misc/Erdos981.zip,445,1381,0.013979147687012855,1,6.206741573033707,42,0.1823517693009924,3765,0,8.460674157303371,145,0.28581131106268604,0.21192164809186087,0.9865168539325844,2.0
Erdos991,misc,http://nrvis.com/./download/data/misc/Erdos991.zip,454,1417,0.013779891277922028,1,6.242290748898679,42,0.1847338797524085,3906,0,8.603524229074889,145,0.2907779950608504,0.21287263611095966,0.9823788546255506,0.0
G14,misc,http://nrvis.com/./download/data/misc/G14.zip,800,4694,0.014687108886107634,5,11.735,132,-0.06200945300700308,15906,4,19.8825,384,0.3416257784340605,0.15350911056207536,1.0,0.0
G15,misc,http://nrvis.com/./download/data/misc/G15.zip,800,4661,0.014583854818523152,4,11.6525,153,-0.06656930737650207,15924,3,19.905,506,0.3482645827120493,0.1469668023368497,1.0,2.0
G16,misc,http://nrvis.com/./download/data/misc/G16.zip,800,4672,0.014618272841051312,5,11.68,123,-0.05931085911627604,15957,3,19.94625,373,0.34753399379415306,0.15423202946037634,1.0,2.0
G17,misc,http://nrvis.com/./download/data/misc/G17.zip,800,4667,0.014602628285356696,5,11.6675,143,-0.061118443380966975,16155,4,20.19375,477,0.34963073747301743,0.15339112600765295,1.0,2.0
G18,misc,http://nrvis.com/./download/data/misc/G18.zip,800,4694,0.014687108886107634,5,11.735,132,-0.06200945300700308,15906,4,19.8825,384,0.3416257784340605,0.15350911056207536,1.0,2.0
G19,misc,http://nrvis.com/./download/data/misc/G19.zip,800,4661,0.014583854818523152,4,11.6525,153,-0.06656930737650207,15924,3,19.905,506,0.3482645827120493,0.1469668023368497,1.0,2.0
G20,misc,http://nrvis.com/./download/data/misc/G20.zip,800,4672,0.014618272841051312,5,11.68,123,-0.05931085911627604,15957,3,19.94625,373,0.34753399379415306,0.15423202946037634,1.0,2.0
G21,misc,http://nrvis.com/./download/data/misc/G21.zip,800,4667,0.014602628285356696,5,11.6675,143,-0.061118443380966975,16155,4,20.19375,477,0.34963073747301743,0.15339112600765295,1.0,0.0
G43,misc,http://nrvis.com/./download/data/misc/G43.zip,1000,9990,0.02,7,19.98,36,0.008335916618709511,4176,0,4.176,16,0.02086567555613521,0.02094324861080463,1.0,5.0
G44,misc,http://nrvis.com/./download/data/misc/G44.zip,1000,9990,0.02,7,19.98,37,0.0025085748379836013,4050,0,4.05,18,0.02010029104376512,0.020288243338693442,1.0,0.0
G45,misc,http://nrvis.com/./download/data/misc/G45.zip,1000,9990,0.02,6,19.98,35,0.0075735103838343205,4017,0,4.017,16,0.02004693329664044,0.020183394045974124,1.0,3.0
G46,misc,http://nrvis.com/./download/data/misc/G46.zip,1000,9990,0.02,8,19.98,35,0.007328896886051111,3882,0,3.882,16,0.019569159104676558,0.01954180950511198,1.0,0.0
G47,misc,http://nrvis.com/./download/data/misc/G47.zip,1000,9990,0.02,8,19.98,34,-0.0036186828315782453,3855,0,3.855,17,0.01924289466056205,0.01935027256025941,1.0,4.0
G51,misc,http://nrvis.com/./download/data/misc/G51.zip,1000,5909,0.01182982982982983,5,11.818,156,-0.06810889380254383,20658,6,20.658,481,0.3508781891531464,0.14004379334422518,1.0,0.0
G52,misc,http://nrvis.com/./download/data/misc/G52.zip,1000,5916,0.011843843843843843,5,11.832,171,-0.06538524021785479,20151,6,20.151,527,0.34615461531989405,0.14295240595049766,1.0,2.0
G53,misc,http://nrvis.com/./download/data/misc/G53.zip,1000,5914,0.011839839839839841,5,11.828,136,-0.06299838180448827,20322,6,20.322,413,0.3487992964862928,0.1439571571259572,1.0,2.0
G54,misc,http://nrvis.com/./download/data/misc/G54.zip,1000,5916,0.011843843843843843,5,11.832,136,-0.05768400715729442,20463,6,20.463,421,0.34786615015064154,0.1453327746251802,1.0,0.0
GD01-c,misc,http://nrvis.com/./download/data/misc/GD01_c.zip,33,135,0.2556818181818182,1,8.181818181818182,19,0.0833645927613484,756,0,22.90909090909091,75,0.5077750222487065,0.5744680851063829,1.0,2.0
GD02-a,misc,http://nrvis.com/./download/data/misc/GD02_a.zip,23,59,0.233201581027668,1,5.130434782608695,19,-0.4896302975653739,150,0,6.521739130434782,26,0.6303167338636446,0.33407572383073497,1.0,3.0
GD02-b,misc,http://nrvis.com/./download/data/misc/GD02_b.zip,80,232,0.07341772151898733,3,5.8,7,-0.0054558254135869295,543,3,6.7875,9,0.4958333333333333,0.4697231833910034,1.0,1.0
GD95-c,misc,http://nrvis.com/./download/data/misc/GD95_c.zip,62,144,0.07615018508725542,2,4.645161290322581,15,-0.02095890632322281,264,0,4.258064516129032,16,0.5303704360155972,0.3656509695290859,1.0,5.0
GD97-b,misc,http://nrvis.com/./download/data/misc/GD97_b.zip,46,132,0.12753623188405794,3,5.739130434782608,25,-0.2790900859398577,309,1,6.717391304347826,42,0.5648763030092955,0.2890551917680075,1.0,0.0
GL6-D-10,misc,http://nrvis.com/./download/data/misc/GL6_D_10.zip,340,2042,0.035432934235641166,2,12.011764705882351,41,-0.14600054788448436,1863,0,5.479411764705882,43,0.06245729965638658,0.057031776158697124,1.0,3.0
GL6-D-6,misc,http://nrvis.com/./download/data/misc/GL6_D_6.zip,465,2503,0.02320170559881349,1,10.765591397849462,46,-0.20994337053981832,1437,0,3.0903225806451613,56,0.04081378845011297,0.039186277985329004,1.0,3.0
GL6-D-7,misc,http://nrvis.com/./download/data/misc/GL6_D_7.zip,636,5336,0.02642499876194721,1,16.779874213836482,41,0.07866261236743706,3666,0,5.764150943396228,31,0.032804749172738686,0.03665193657395373,1.0,3.0
GL6-D-8,misc,http://nrvis.com/./download/data/misc/GL6_D_8.zip,633,6085,0.030420741096246526,1,19.225908372827803,34,0.05400984369340643,4701,0,7.4265402843601915,31,0.038341662767264896,0.038152512660693416,1.0,3.0
GL6-D-9,misc,http://nrvis.com/./download/data/misc/GL6_D_9.zip,543,4311,0.02929603881674176,1,15.878453038674033,37,-0.03916155975843782,3645,0,6.712707182320442,37,0.048819993432385064,0.046138656472702884,1.0,3.0
GlossGT,misc,http://nrvis.com/./download/data/misc/GlossGT.zip,67,118,0.05336951605608322,1,3.5223880597014925,18,-0.15823115198365115,117,0,1.7462686567164178,18,0.2462779684465374,0.18396226415094336,0.8955223880597015,2.0
Hamrle1,misc,http://nrvis.com/./download/data/misc/Hamrle1.zip,32,95,0.19153225806451613,4,5.9375,8,-0.14431785905892186,54,0,1.6875,6,0.1450892857142857,0.12162162162162166,1.0,4.0
Harvard500,misc,http://nrvis.com/./download/data/misc/Harvard500.zip,500,2116,0.01696192384769539,1,8.464,200,-0.21168811363982426,16038,0,32.076,561,0.42087969619392296,0.2820860082666432,1.0,2.0
IG5-9,misc,http://nrvis.com/./download/data/misc/IG5-9.zip,538,4570,0.031636587679037466,2,16.988847583643118,71,-0.003748614196024504,2181,0,4.0539033457249065,67,0.022163123100708355,0.01941514220857257,1.0,3.0
Journals,misc,http://nrvis.com/./download/data/misc/Journals.zip,124,6096,0.7993705743509048,20,98.32258064516131,125,-0.2120836159754716,509934,149,4112.370967741936,5849,0.8744643539416654,0.8480384493855083,1.0,3.0
Maragal-1,misc,http://nrvis.com/./download/data/misc/Maragal_1.zip,32,216,0.4354838709677419,2,13.5,27,-0.3602900281627426,2199,0,68.71875,157,0.7503966234536465,0.6471453796350795,1.0,1.0
Maragal-2,misc,http://nrvis.com/./download/data/misc/Maragal_2.zip,549,4316,0.0286918484836398,1,15.723132969034607,139,-0.21954360556031424,19212,0,34.994535519125684,853,0.14834799174796495,0.1109244279701384,1.0,3.0
QRpivot,misc,http://nrvis.com/./download/data/misc/QRpivot.zip,749,3803,0.013576033642003956,1,10.15487316421896,23,0.06694353169162509,1215,0,1.6221628838451267,25,0.022765239889876485,0.028498381573392125,1.0,4.0
Ragusa16,misc,http://nrvis.com/./download/data/misc/Ragusa16.zip,24,68,0.2463768115942029,1,5.666666666666668,16,-0.2916533885306693,135,0,5.625,26,0.3427412864912865,0.34704370179948585,1.0,3.0
Ragusa18,misc,http://nrvis.com/./download/data/misc/Ragusa18.zip,23,54,0.2134387351778656,1,4.695652173913044,14,-0.25853416212360464,93,0,4.043478260869565,14,0.4077639751552794,0.33214285714285713,1.0,0.0
Sandi-authors,misc,http://nrvis.com/./download/data/misc/Sandi_authors.zip,86,124,0.03392612859097127,1,2.8837209302325584,12,-0.2558007203607853,126,0,1.4651162790697674,7,0.4148788549951339,0.27213822894168466,1.0,4.0
