name,category,download_url,n,m,density,k_min,k_avg,k_max,r,t,t_min,t_avg,t_max,C_avg,C,LCC,class,resource_allocation,jaccard_coefficient,preferential_attachment,community,sorensen_neighbours
c-fat200-1,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-1.zip,200,1534,0.0770854271356784,14,15.34,17,0.9707224155968044,16230,66,81.15,100,0.7301163542340023,0.7311469501756915,1.0,0.0,0.9973924380704041,0.9973924380704041,0.363754889178618,0.8585397653194262,0.9973924380704041
c-fat200-2,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-2.zip,200,3235,0.16256281407035175,32,32.35,34,0.8383708704790136,76758,375,383.79,429,0.7564219639468669,0.7565047701647876,1.0,0.0,0.9984544049459042,0.9984544049459042,0.31653786707882536,0.8800618238021638,0.9984544049459042
c-fat200-5,dimacs,http://nrvis.com/./download/data/dimacs/c-fat200-5.zip,200,8473,0.4257788944723617,83,84.73,86,0.7271633010425129,546252,2619,2731.26,2814,0.7698366683510243,0.7698569515890353,1.0,0.0,0.9996459341437508,0.9996459341437508,0.39348518824501355,0.8314646524253511,0.9996459341437508
c-fat500-1,dimacs,http://nrvis.com/./download/data/dimacs/c-fat500-1.zip,500,4459,0.035743486973947886,17,17.836,20,0.9843405864717801,55704,100,111.408,141,0.7373098039215747,0.7378208694270046,1.0,1.0,0.9970845481049563,0.9979816102265082,0.36308589369813865,0.9185916124691635,0.9977573446961203
c-fat500-2,dimacs,http://nrvis.com/./download/data/dimacs/c-fat500-2.zip,500,9139,0.07325851703406812,35,36.556,38,0.9748149051465842,247008,451,494.016,534,0.7588764438919211,0.7589550725439227,1.0,0.0,0.9990152095415252,0.9990152095415252,0.3685304737936317,0.8964875806981071,0.9990152095415252
johnson8-2-4,dimacs,http://nrvis.com/./download/data/dimacs/johnson8-2-4.zip,28,210,0.5555555555555556,15,15.0,15,,1260,45,45.0,45,0.4285714285714287,0.42857142857142855,1.0,3.0,0.019047619047619046,0.0047619047619047615,0.319047619047619,0.42380952380952375,0.0
johnson8-4-4,dimacs,http://nrvis.com/./download/data/dimacs/johnson8-4-4.zip,70,1855,0.7681159420289855,53,53.0,53,,71820,1026,1026.0,1026,0.7445573294629906,0.7445573294629898,1.0,3.0,0.12183288409703505,0.08679245283018869,0.3401617250673854,0.4716981132075472,0.11051212938005392
keller4,dimacs,http://nrvis.com/./download/data/dimacs/keller4.zip,171,9435,0.6491228070175439,102,110.35087719298244,124,-0.07098316703716802,649791,3285,3799.947368421053,4770,0.6274366362148921,0.6269796011706097,1.0,3.0,0.3075781664016958,0.25076841547429785,0.5142554319024907,0.557286698463169,0.25638579756226815
bio-celegansneural,dimacs10,http://nrvis.com/./download/data/dimacs10/bio-celegansneural.zip,297,2148,0.048867048867048866,1,14.464646464646465,134,-0.16319921031570409,9723,0,32.73737373737374,397,0.2923632978321901,0.18071147126607687,1.0,0.0,0.8514897579143388,0.7905027932960894,0.7295158286778398,0.6620111731843575,0.8114525139664803
chesapeake,dimacs10,http://nrvis.com/./download/data/dimacs10/chesapeake.zip,39,170,0.2294197031039137,3,8.717948717948719,33,-0.3757827510643474,582,1,14.923076923076925,71,0.4502370997904624,0.2841796875,1.0,2.0,0.6823529411764707,0.3764705882352941,0.7,0.5588235294117647,0.48823529411764705
chesapeake,misc,http://nrvis.com/./download/data/dimacs10/chesapeake.zip,39,170,0.2294197031039137,3,8.717948717948719,33,-0.3757827510643474,582,1,14.923076923076925,71,0.4502370997904624,0.2841796875,1.0,2.0,0.6235294117647059,0.48235294117647054,0.7,0.5823529411764706,0.3941176470588235
aves-sparrow-social,dynamic,http://nrvis.com/./download/data/dynamic/aves-sparrow-social.zip,52,454,0.34238310708898945,3,17.46153846153846,35,-0.05617465997558864,5571,3,107.1346153846154,282,0.7186959385181153,0.5960838861545046,1.0,0.0,0.9162995594713657,0.9008810572687225,0.7599118942731278,0.6651982378854625,0.9140969162995596
aves-weaver-social,dynamic,http://nrvis.com/./download/data/dynamic/aves-weaver-social.zip,445,1335,0.013513513513513514,1,6.0,27,0.20000295169108667,6135,0,13.786516853932586,95,0.6685047954844799,0.5880943251533742,0.26292134831460673,4.0,0.945945945945946,0.9519519519519521,0.6366366366366366,0.9369369369369369,0.9527027027027027
ia-workplace-contacts,dynamic,http://nrvis.com/./download/data/dynamic/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,0.0,0.8198675496688741,0.7960264900662251,0.671523178807947,0.6953642384105959,0.7708609271523179
ia-workplace-contacts,ia,http://nrvis.com/./download/data/dynamic/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,1.0,0.83841059602649,0.8609271523178808,0.6675496688741721,0.7483443708609272,0.8437086092715231
insecta-ant-trophallaxis-colony1,dynamic,http://nrvis.com/./download/data/dynamic/insecta-ant-trophallaxis-colony1.zip,41,256,0.3121951219512195,2,12.48780487804878,25,0.003188680575686115,1335,0,32.560975609756106,114,0.385866924152056,0.3943870014771049,1.0,4.0,0.66015625,0.6796875,0.67578125,0.49609375,0.69140625
insecta-ant-trophallaxis-colony2,dynamic,http://nrvis.com/./download/data/dynamic/insecta-ant-trophallaxis-colony2.zip,39,245,0.3306342780026991,1,12.564102564102564,25,-0.15444368357702787,1503,0,38.53846153846154,104,0.4227490688243248,0.4438865918487892,1.0,0.0,0.7714285714285714,0.636734693877551,0.616326530612245,0.4857142857142857,0.6285714285714286
mammalia-primate-association,dynamic,http://nrvis.com/./download/data/dynamic/mammalia-primate-association.zip,25,280,0.9333333333333332,17,22.4,24,-0.08221371766688924,5655,128,226.2,256,0.9394429715301972,0.9385892116182571,1.0,0.0,0.5428571428571428,0.5214285714285714,0.5321428571428571,0.33214285714285713,0.5357142857142858
mammalia-raccoon-proximity,dynamic,http://nrvis.com/./download/data/dynamic/mammalia-raccoon-proximity.zip,24,226,0.8188405797101449,7,18.83333333333333,23,-0.133086192376403,3756,21,156.5,203,0.9031933701005078,0.8883632923368022,1.0,0.0,0.8761061946902655,0.8407079646017699,0.8539823008849556,0.5398230088495575,0.8539823008849557
reptilia-tortoise-network-bsv,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-bsv.zip,136,374,0.04074074074074074,1,5.5,19,0.3253874106271273,1122,0,8.25,72,0.3335228371913402,0.3648780487804878,0.9852941176470588,4.0,0.8342245989304813,0.8262032085561497,0.6711229946524064,0.6149732620320856,0.839572192513369
reptilia-tortoise-network-cs,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-cs.zip,73,132,0.0502283105022831,1,3.616438356164384,15,0.393367169575193,306,0,4.191780821917808,31,0.314643651629953,0.4157608695652174,0.4246575342465753,0.0,0.8636363636363636,0.8257575757575757,0.5303030303030303,0.7272727272727273,0.8181818181818181
reptilia-tortoise-network-fi,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-fi.zip,787,1197,0.0038701417112040116,1,3.0419313850063534,17,0.4765607192805185,2307,0,2.9313850063532403,42,0.26799840458185625,0.4199126319621405,0.6302414231257941,0.0,0.7936507936507936,0.7919799498746867,0.5906432748538012,0.7660818713450293,0.7736006683375103
reptilia-tortoise-network-hw,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-hw.zip,16,16,0.13333333333333333,1,2.0,4,-0.3989071038251366,9,0,0.5625,2,0.3958333333333333,0.42857142857142855,0.375,3.0,0.375,0.375,0.1875,0.5,0.375
reptilia-tortoise-network-lm,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-lm.zip,45,106,0.10707070707070708,1,4.711111111111111,12,0.11814639838882747,246,0,5.466666666666668,25,0.43449735449735455,0.3644444444444445,0.9111111111111112,1.0,0.8113207547169812,0.8207547169811322,0.679245283018868,0.6226415094339623,0.7452830188679247
reptilia-tortoise-network-mc,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-mc.zip,15,28,0.26666666666666666,1,3.733333333333333,9,0.04083484573502665,78,0,5.2,14,0.7094179894179894,0.6724137931034483,0.7333333333333333,4.0,0.5714285714285714,0.5357142857142857,0.5,0.49999999999999994,0.6428571428571428
reptilia-tortoise-network-pv,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-pv.zip,35,66,0.11092436974789917,1,3.7714285714285714,12,0.05826239207873018,168,0,4.8,23,0.4883797155225726,0.5045045045045045,0.6285714285714286,4.0,0.6818181818181819,0.5909090909090908,0.6212121212121212,0.4696969696969698,0.7121212121212123
reptilia-tortoise-network-sl,dynamic,http://nrvis.com/./download/data/dynamic/reptilia-tortoise-network-sl.zip,11,13,0.2363636363636364,1,2.363636363636364,4,-0.23809523809523825,12,0,1.0909090909090908,2,0.6363636363636362,0.5714285714285714,0.6363636363636364,0.0,0.6923076923076923,0.6923076923076923,0.30769230769230765,0.6153846153846153,0.6923076923076923
eco-everglades,eco,http://nrvis.com/./download/data/eco/eco-everglades.zip,69,885,0.3772378516624041,5,25.65217391304348,64,-0.2962372324272034,13044,0,189.0434782608696,668,0.5521052773829923,0.4703761133749234,1.0,2.0,0.7090909090909091,0.5363636363636364,0.7670454545454546,0.5477272727272727,0.5215909090909091
eco-everglades,misc,http://nrvis.com/./download/data/eco/eco-everglades.zip,69,885,0.3772378516624041,5,25.65217391304348,64,-0.2962372324272034,13044,0,189.0434782608696,668,0.5521052773829923,0.4703761133749234,1.0,2.0,0.6795454545454545,0.48522727272727273,0.8204545454545453,0.49090909090909096,0.5704545454545454
eco-florida,eco,http://nrvis.com/./download/data/eco/eco-florida.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,2.0,0.6462650602409639,0.5359036144578313,0.7503614457831325,0.5797590361445782,0.5233734939759036
eco-florida,misc,http://nrvis.com/./download/data/eco/eco-florida.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,2.0,0.607710843373494,0.5301204819277109,0.7098795180722892,0.5831325301204819,0.5315662650602411
eco-foodweb-baydry,eco,http://nrvis.com/./download/data/eco/eco-foodweb-baydry.zip,128,2106,0.2591043307086614,2,32.90625,110,-0.10437190533228803,26145,0,204.2578125,1745,0.3346418860120208,0.3142994530263869,1.0,2.0,0.6329534662867996,0.5612535612535612,0.7540360873694207,0.5959164292497626,0.5170940170940171
eco-foodweb-baydry,misc,http://nrvis.com/./download/data/eco/eco-foodweb-baydry.zip,128,2106,0.2591043307086614,2,32.90625,110,-0.10437190533228803,26145,0,204.2578125,1745,0.3346418860120208,0.3142994530263869,1.0,2.0,0.5883190883190883,0.5170940170940171,0.7231718898385566,0.5783475783475783,0.527065527065527
eco-foodweb-baywet,eco,http://nrvis.com/./download/data/eco/eco-foodweb-baywet.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,2.0,0.5985542168674699,0.4862650602409639,0.7166265060240964,0.5604819277108434,0.5118072289156627
eco-foodweb-baywet,misc,http://nrvis.com/./download/data/eco/eco-foodweb-baywet.zip,128,2075,0.2552903543307087,2,32.421875,110,-0.11166300173840188,25311,0,197.7421875,1714,0.33462218114952585,0.3119154127694185,1.0,2.0,0.5951807228915663,0.5137349397590362,0.7527710843373494,0.5725301204819278,0.5209638554216868
eco-mangwet,eco,http://nrvis.com/./download/data/eco/eco-mangwet.zip,97,1446,0.3105670103092784,5,29.81443298969072,90,-0.1506125663442823,22482,3,231.77319587628867,1212,0.4683429068100052,0.423246357167062,1.0,2.0,0.6950207468879668,0.6092669432918396,0.7517289073305671,0.598893499308437,0.6071922544951591
eco-mangwet,misc,http://nrvis.com/./download/data/eco/eco-mangwet.zip,97,1446,0.3105670103092784,5,29.81443298969072,90,-0.1506125663442823,22482,3,231.77319587628867,1212,0.4683429068100052,0.423246357167062,1.0,2.0,0.6881051175656985,0.6154910096818811,0.7378976486860305,0.6085753803596128,0.6002766251728908
eco-stmarks,eco,http://nrvis.com/./download/data/eco/eco-stmarks.zip,54,353,0.246680642907058,4,13.074074074074074,48,-0.2302498671985144,1950,0,36.111111111111114,215,0.4127809593795341,0.33293494963291786,1.0,2.0,0.6714285714285714,0.5142857142857143,0.72,0.5314285714285715,0.5828571428571429
eco-stmarks,misc,http://nrvis.com/./download/data/eco/eco-stmarks.zip,54,353,0.246680642907058,4,13.074074074074074,48,-0.2302498671985144,1950,0,36.111111111111114,215,0.4127809593795341,0.33293494963291786,1.0,0.0,0.7228571428571429,0.5085714285714286,0.7,0.5342857142857143,0.4828571428571428
econ-wm1,econ,http://nrvis.com/./download/data/econ/econ-wm1.zip,260,2554,0.07585387585387586,1,19.646153846153847,108,-0.036004533380484725,65697,0,252.68076923076924,1756,0.2666020378530707,0.5665488099344601,0.9923076923076924,2.0,0.8643784010046045,0.830054416073671,0.91084135621599,0.672247802427794,0.8476349937212222
econ-wm2,econ,http://nrvis.com/./download/data/econ/econ-wm2.zip,259,2533,0.07581335488312232,1,19.55984555984556,108,0.018665072484774142,65871,0,254.3281853281853,1708,0.25102340666283,0.5839161769007792,0.9922779922779924,2.0,0.8509473684210526,0.8164210526315789,0.9107368421052631,0.8282105263157895,0.8168421052631578
econ-wm3,econ,http://nrvis.com/./download/data/econ/econ-wm3.zip,259,2539,0.07599293645805273,1,19.60617760617761,108,0.009335384532283324,65091,0,251.3166023166023,1722,0.2632102904430109,0.5780882261516737,0.9922779922779924,2.0,0.8373266078184111,0.823034888608659,0.8974358974358974,0.7385456073980665,0.8314417822614545
email-enron-only,email,http://nrvis.com/./download/data/email/email-enron-only.zip,143,623,0.061361174037230376,1,8.713286713286713,42,-0.01953592298729724,2667,0,18.650349650349646,125,0.43390702914792223,0.3590951932139491,1.0,0.0,0.8828250401284109,0.8764044943820225,0.7078651685393258,0.8025682182985554,0.8780096308186196
ia-enron-only,ia,http://nrvis.com/./download/data/ia/ia-enron-only.zip,143,623,0.061361174037230376,1,8.713286713286713,42,-0.01953592298729724,2667,0,18.650349650349646,125,0.43390702914792223,0.3590951932139491,1.0,0.0,0.911717495987159,0.884430176565008,0.7207062600321028,0.7736757624398074,0.8603531300160514
ia-infect-dublin,ia,http://nrvis.com/./download/data/ia/ia-infect-dublin.zip,410,2765,0.032977518039239075,1,13.48780487804878,50,0.2257519475783722,21342,0,52.05365853658537,280,0.4558242418435714,0.4356932876041156,1.0,0.0,0.9500904159132008,0.9446654611211573,0.6860759493670887,0.8723327305605787,0.9461121157323689
ia-infect-hyper,ia,http://nrvis.com/./download/data/ia/ia-infect-hyper.zip,113,2196,0.3470290771175727,1,38.86725663716814,98,-0.12258037504294858,50601,0,447.7964601769912,1731,0.5347555956050045,0.4952046348671977,1.0,2.0,0.7768670309653918,0.7650273224043715,0.7818761384335154,0.5104735883424407,0.7768670309653917
ia-southernwomen,ia,http://nrvis.com/./download/data/ia/ia-southernwomen.zip,18,78,0.5098039215686274,2,8.666666666666666,16,-0.3024329588148526,291,1,16.166666666666668,38,0.7619318952652288,0.6,1.0,0.0,0.671875,0.59375,0.46875,0.59375,0.578125
ia-workplace-contacts,dynamic,http://nrvis.com/./download/data/ia/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,1.0,0.8052980132450331,0.8119205298013246,0.6516556291390728,0.7192052980132451,0.7788079470198677
ia-workplace-contacts,ia,http://nrvis.com/./download/data/ia/ia-workplace-contacts.zip,92,755,0.18036311514572384,4,16.41304347826087,44,-0.058593493071369726,5256,1,57.1304347826087,242,0.4260317537699301,0.3682477404890353,1.0,0.0,0.8278145695364238,0.8225165562913908,0.6384105960264901,0.7576158940397351,0.8172185430463575
inf-USAir97,inf,http://nrvis.com/./download/data/inf/inf-USAir97.zip,332,2126,0.0386925344884068,1,12.807228915662654,139,-0.2078762308120044,36543,0,110.06927710843374,1413,0.625217249162503,0.3963921942964996,1.0,0.0,0.9454374412041393,0.8908748824082784,0.8682972718720602,0.6815616180620885,0.9016933207902162
DD199,labeled,http://nrvis.com/./download/data/labeled/DD199.zip,841,1902,0.00538474605062001,1,4.523186682520809,10,0.32975285918616404,3558,0,4.230677764565993,18,0.4677830624917422,0.467727093466544,1.0,1.0,0.9016824395373293,0.9069400630914827,0.3380651945320715,0.8643533123028393,0.9064143007360674
DD244,labeled,http://nrvis.com/./download/data/labeled/DD244.zip,291,822,0.019480981158905085,1,5.649484536082476,10,0.2296256152144629,2061,0,7.082474226804122,18,0.515968472154039,0.4896650035637919,1.0,0.0,0.951338199513382,0.9452554744525548,0.3880778588807785,0.8467153284671532,0.940389294403893
DD349,labeled,http://nrvis.com/./download/data/labeled/DD349.zip,897,2087,0.005193402611880873,1,4.653288740245261,10,0.3344070224470197,4146,0,4.622073578595318,16,0.4706995098299441,0.4738827294547948,1.0,1.0,0.898897939626258,0.906085289889794,0.415428845232391,0.8754192620987064,0.8998562529947294
DD497,labeled,http://nrvis.com/./download/data/labeled/DD497.zip,903,2453,0.006023282824190368,2,5.433001107419711,11,0.3192006850418589,5790,0,6.411960132890365,21,0.4989131945942578,0.4742791612057667,1.0,0.0,0.9535262943334691,0.9408887077048511,0.4349775784753363,0.8813697513249081,0.9502649816551161
DD68,labeled,http://nrvis.com/./download/data/labeled/DD68.zip,775,2093,0.006978411269484038,2,5.401290322580645,13,0.4314997874524133,4416,0,5.698064516129032,21,0.4390605451895772,0.4067796610169492,1.0,1.0,0.9235547061634017,0.923554706163402,0.47491638795986624,0.8404204491161013,0.9125656951743908
DD687,labeled,http://nrvis.com/./download/data/labeled/DD687.zip,725,2600,0.009906648885502,1,7.172413793103447,15,0.3576522528447287,7569,0,10.44,29,0.4746152315117844,0.42954429374042336,1.0,1.0,0.9673076923076924,0.9684615384615385,0.46192307692307694,0.8457692307692308,0.9676923076923076
TerroristRel,labeled,http://nrvis.com/./download/data/labeled/TerroristRel.zip,881,8592,0.02216489526364668,1,19.505107832009077,36,0.8509718903882372,105732,0,120.01362088535757,330,0.5747525285560737,0.5333777259863492,0.7797956867196367,4.0,0.996973929236499,0.9977886405959031,0.6729515828677839,0.9503026070763501,0.998254189944134
internet-industry-partnerships,labeled,http://nrvis.com/./download/data/labeled/internet-industry-partnerships.zip,219,630,0.02639185622722132,1,5.753424657534247,61,-0.2168362705142101,984,0,4.493150684931507,79,0.17618253771403775,0.10703796366800827,1.0,2.0,0.7126984126984126,0.626984126984127,0.746031746031746,0.5126984126984127,0.6126984126984126
webkb-wisc,labeled,http://nrvis.com/./download/data/labeled/webkb-wisc.zip,265,479,0.013693539165237278,1,3.6150943396226416,122,-0.18422169100931504,360,0,1.3584905660377358,60,0.20802821796108725,0.03972632972853675,0.9471698113207548,2.0,0.6557734204793029,0.6623093681917211,0.673202614379085,0.6601307189542485,0.5904139433551199
08blocks,misc,http://nrvis.com/./download/data/misc/08blocks.zip,300,584,0.01302118171683389,2,3.8933333333333335,39,-0.3140560853781001,852,1,2.84,36,0.6681281281281259,0.14134041141340412,0.12666666666666668,3.0,0.8958333333333333,0.8784722222222222,0.5277777777777778,0.923611111111111,0.8680555555555556
130bit,misc,http://nrvis.com/./download/data/misc/130bit.zip,584,6067,0.03563876030921779,8,20.77739726027397,322,-0.15680605204715156,22293,0,38.17294520547946,1783,0.16491103984482275,0.07102282683148288,1.0,2.0,0.6513700891383295,0.43397160779135024,0.7142621327170684,0.48993067018818093,0.4371079564212612
685-bus,misc,http://nrvis.com/./download/data/misc/685_bus.zip,685,1967,0.008396294873436629,3,5.7430656934306565,14,0.3370658387140669,990,0,1.4452554744525548,19,0.17247848663907042,0.21447140381282487,1.0,3.0,0.7004680187207489,0.7051482059282371,0.43603744149766,0.8127925117004682,0.7121684867394696
CAG-mat72,misc,http://nrvis.com/./download/data/misc/CAG_mat72.zip,72,750,0.2934272300469484,3,20.83333333333333,51,0.04703047302068601,10188,0,141.5,476,0.7510551554970636,0.6540832049306625,1.0,0.0,0.9690265486725664,0.9587020648967552,0.7728613569321533,0.7831858407079646,0.9454277286135694
Chebyshev1,misc,http://nrvis.com/./download/data/misc/Chebyshev1.zip,261,1803,0.05313881520778072,8,13.816091954022989,262,-0.4315304775984449,11493,15,44.03448275862069,1282,0.8823113185182128,0.08105306214561765,1.0,0.0,0.9811932555123217,0.2795071335927367,0.7367055771725033,0.5927367055771726,0.2989623865110247
Cities,misc,http://nrvis.com/./download/data/misc/Cities.zip,55,1072,0.7218855218855219,16,38.98181818181817,56,-0.2155217214557205,32298,109,587.2363636363636,990,0.8093311908408478,0.7771975840411964,1.0,2.0,0.8122605363984674,0.710727969348659,0.8888888888888888,0.46934865900383144,0.7011494252873564
D-10,misc,http://nrvis.com/./download/data/misc/D_10.zip,815,7549,0.02275817367841908,1,18.525153374233128,50,-0.06400710178300255,5919,0,7.2625766871165665,51,0.0344119511779641,0.03405227216504335,1.0,2.0,0.5633802816901409,0.555142173797502,0.6910709540260429,0.5265745415891575,0.5556736646292851
D-11,misc,http://nrvis.com/./download/data/misc/D_11.zip,457,2931,0.028129678682483013,1,12.827133479212256,47,-0.2298542741073181,2982,0,6.525164113785558,53,0.06201418919638715,0.05202826485213295,1.0,2.0,0.5725999316706526,0.5818243935770414,0.7840792620430476,0.5394601981551077,0.5893406217970618
D-5,misc,http://nrvis.com/./download/data/misc/D_5.zip,431,1817,0.019608266335725464,1,8.43155452436195,64,-0.3057383133556952,1047,0,2.4292343387471003,56,0.06487875848761271,0.035928760166089015,1.0,2.0,0.5615681943677526,0.5538376587520707,0.7526228602981779,0.5908337934842629,0.5422418553285479
D-6,misc,http://nrvis.com/./download/data/misc/D_6.zip,967,6469,0.013850439235988448,1,13.37952430196484,73,-0.16355868421552608,2967,0,3.068252326783868,50,0.027081076176162955,0.024795874875686345,1.0,2.0,0.5466646030026312,0.5496053242532116,0.6853428261878965,0.5475932518186039,0.5655471289274107
EX1,misc,http://nrvis.com/./download/data/misc/EX1.zip,560,4368,0.027906976744186046,12,15.6,18,0.32923832923832164,8736,12,15.6,18,0.13868954574837006,0.1355174981384959,1.0,4.0,0.9070512820512819,0.9102564102564102,0.3516483516483516,0.6412545787545787,0.9171245421245422
EX2,misc,http://nrvis.com/./download/data/misc/EX2.zip,560,4368,0.027906976744186046,12,15.6,18,0.3292383292383157,8736,12,15.6,18,0.13868954574837006,0.1355174981384959,1.0,4.0,0.8988095238095237,0.9116300366300365,0.34294871794871795,0.6460622710622711,0.9118589743589743
Erdos971,misc,http://nrvis.com/./download/data/misc/Erdos971.zip,433,1314,0.014049268668206312,1,6.069284064665128,41,0.18158961293822728,3549,0,8.196304849884529,138,0.2805065529403261,0.21441517641372645,0.9907621247113164,0.0,0.845509893455099,0.8242009132420091,0.7579908675799086,0.6590563165905632,0.8203957382039573
Erdos981,misc,http://nrvis.com/./download/data/misc/Erdos981.zip,445,1381,0.013979147687012855,1,6.206741573033707,42,0.1823517693009924,3765,0,8.460674157303371,145,0.28581131106268604,0.21192164809186087,0.9865168539325844,1.0,0.8638667632150616,0.8667632150615496,0.7530774800868936,0.6538740043446778,0.8464880521361333
Erdos991,misc,http://nrvis.com/./download/data/misc/Erdos991.zip,454,1417,0.013779891277922028,1,6.242290748898679,42,0.1847338797524085,3906,0,8.603524229074889,145,0.2907779950608504,0.21287263611095966,0.9823788546255506,4.0,0.8327452364149612,0.8270995059985886,0.7784050811573747,0.6612561750176429,0.8440366972477065
G14,misc,http://nrvis.com/./download/data/misc/G14.zip,800,4694,0.014687108886107634,5,11.735,132,-0.06200945300700308,15906,4,19.8825,384,0.3416257784340605,0.15350911056207536,1.0,0.0,0.9744354495100129,0.9363016616957819,0.7104814657008948,0.5896889646357052,0.9273540690242863
G15,misc,http://nrvis.com/./download/data/misc/G15.zip,800,4661,0.014583854818523152,4,11.6525,153,-0.06656930737650207,15924,3,19.905,506,0.3482645827120493,0.1469668023368497,1.0,0.0,0.9763999141815061,0.9324179360652219,0.7058571122076808,0.593649431452478,0.9418579703926195
